State,Cost Of Living (2026)
Alabama,69032
Alaska,100289
Arizona,85446
Arkansas,70132
California,107357
Colorado,80655
Connecticut,89608
Delaware,80734
Distric of Columbia,84936
Florida,78142
Georgia,72095
Hawaii,141127
Idaho,77750
Illinois,75315
Indiana,71153
Iowa,70917
Kansas,69818
Kentucky,72174
Louisiana,72802
Maine,89687
Maryland,93378
Massachusetts,118431
Michigan,74373
Minnesota,73980
Mississippi,67147
Missouri,69896
Montana,86231
Nebraska,71938
Nevada,77436
New Hampshire,85760
New Jersey,90001
New Mexico,72645
New York,99425
North Carolina,76493
North Dakota,71702
Ohio,72880
Oklahoma,66284
Oregon,87231
Pennsylvania,76257
Rhode Island,89059
South Carolina,72645
South Dakota,72095
Tennessee,70917
Texas,71310
Utah,77828
Vermont,89294
Virginia,78614
Washington,89451
West Virginia,69189
Wisconsin,76729
Wyoming,74844
