"State,CareerScore"
"AZ,58.7"
"TX,56.9"
"FL,55.8"
"CA,51.5"
"NC,53.4"
"GA,53.1"
"CO,53.3"
"VA,55.2"
"WA,54.6"
"MA,58.3"
"MD,61.2"
"PA,56.9"
"UT,59.2"
"MN,58.4"
"MO,54.9"
"SC,59.1"
"TN,53.5"
"NV,51.6"
"OR,52.9"
"IL,53.7"
"NY,49.9"
"OH,51.8"
"MI,52.8"
"WI,54.3"
"AL,55.8"
"KY,51.9"
"OK,53.3"
"AR,52.2"
"LA,46.8"
"MS,50.4"
"WV,52.6"
"AK,50.0"
"HI,56.4"
"ID,54.6"
"MT,50.1"
"WY,57.6"
"ND,57.9"
"SD,55.9"
"NE,55.2"
"KS,55.4"
"IA,53.0"
"ME,63.1"
"VT,60.2"
"NH,58.1"
"RI,56.3"
"CT,52.6"
"NJ,51.0"
"DE,52.0"
"NM,48.0"
"DC,62.4"
